iter	Passed	Remaining
0	0	719
1	1	657
2	1	635
3	2	620
4	3	610
5	3	603
6	4	597
7	4	592
8	5	589
9	5	584
10	6	583
11	7	581
12	7	580
13	8	579
14	8	578
15	9	576
16	9	576
17	10	574
18	11	574
19	11	579
20	12	582
21	13	583
22	13	582
23	14	582
24	14	583
25	15	582
26	16	582
27	16	581
28	17	580
29	17	580
30	18	579
31	19	579
32	19	578
33	20	578
34	20	577
35	21	576
36	22	576
37	22	576
38	23	575
39	23	574
40	24	574
41	25	574
42	26	580
43	26	583
44	27	583
45	28	583
46	28	582
47	29	582
48	30	583
49	30	583
50	31	582
51	31	582
52	32	582
53	33	581
54	33	581
55	34	581
56	35	581
57	35	581
58	36	580
59	37	580
60	37	579
61	38	579
62	38	579
63	39	578
64	40	580
65	41	581
66	42	588
67	42	584
68	43	583
69	43	582
70	44	582
71	45	582
72	45	582
73	46	582
74	47	581
75	47	581
76	48	581
77	49	580
78	49	579
79	50	579
80	50	578
81	51	577
82	52	577
83	52	577
84	53	574
85	54	574
86	54	572
87	55	573
88	55	573
89	56	572
90	57	572
91	57	572
92	58	571
93	59	571
94	59	571
95	60	571
96	61	570
97	61	570
98	62	569
99	63	569
100	63	569
101	64	566
102	64	565
103	65	565
104	66	564
105	66	564
106	67	563
107	68	563
108	68	563
109	69	564
110	70	564
111	71	563
112	71	563
113	72	563
114	73	562
115	73	561
116	74	561
117	75	561
118	75	559
119	76	559
120	76	559
121	77	558
122	78	556
123	78	555
124	79	555
125	80	555
126	80	555
127	81	553
128	81	553
129	82	552
130	83	552
131	84	552
132	84	552
133	85	552
134	86	552
135	86	552
136	87	551
137	88	550
138	88	549
139	89	549
140	90	548
141	90	548
142	91	547
143	91	546
144	92	546
145	93	545
146	93	545
147	94	544
148	95	543
149	95	543
150	96	542
151	97	542
152	97	542
153	98	543
154	99	543
155	100	543
156	101	542
157	101	542
158	102	541
159	103	540
160	103	540
161	104	539
162	105	539
163	105	539
164	106	538
165	107	538
166	107	537
167	108	537
168	109	536
169	109	535
170	110	535
171	111	534
172	111	534
173	112	534
174	113	534
175	113	533
176	114	532
177	115	532
178	115	531
179	116	531
180	116	529
181	117	528
182	118	528
183	118	527
184	119	526
185	120	526
186	120	525
187	121	525
188	122	524
189	122	523
190	123	522
191	124	522
192	124	521
193	125	520
194	125	519
195	126	519
196	127	519
197	128	518
198	128	519
199	129	518
200	130	518
201	131	517
202	131	517
203	132	516
204	133	515
205	133	515
206	134	514
207	134	513
208	135	513
209	136	512
210	136	512
211	137	511
212	138	510
213	138	510
214	139	509
215	140	509
216	140	508
217	141	508
218	142	507
219	143	507
220	143	506
221	144	505
222	144	504
223	145	504
224	146	503
225	146	503
226	147	502
227	148	501
