iter	Passed	Remaining
228	148	500
229	149	500
230	150	499
231	150	499
232	151	498
233	152	498
234	152	497
235	153	496
236	154	496
237	154	495
238	155	495
239	156	494
240	156	493
241	157	493
242	158	492
243	158	492
244	159	491
245	160	491
246	160	490
247	161	490
248	162	489
249	162	488
250	163	488
251	164	487
252	164	486
253	165	486
254	166	485
255	166	485
256	167	484
257	168	484
258	168	483
259	169	482
260	170	482
261	171	482
262	171	481
263	172	480
264	173	480
265	173	479
266	174	478
267	175	478
268	175	477
269	176	476
270	176	476
271	177	475
272	178	474
273	178	474
274	179	473
275	180	472
276	180	472
277	181	471
278	182	471
279	182	470
280	183	470
281	184	469
282	185	469
283	185	468
284	186	467
285	187	467
286	187	466
287	188	466
288	189	465
289	189	464
290	190	464
291	191	463
292	191	462
293	192	462
294	193	461
295	193	461
296	194	460
297	195	459
298	195	459
299	196	458
300	197	457
301	198	457
302	198	457
303	199	456
304	200	456
305	200	455
306	201	454
307	202	454
308	202	453
309	203	452
310	204	452
311	204	451
312	205	451
313	206	450
314	206	449
315	207	449
316	208	448
317	208	447
318	209	447
319	210	446
320	210	445
321	211	445
322	212	444
323	212	444
324	213	443
325	214	442
326	214	442
327	215	441
328	216	441
329	216	440
330	217	439
331	218	439
332	218	438
333	219	437
334	220	437
335	220	436
336	221	435
337	222	435
338	222	434
339	223	433
340	224	433
341	224	432
342	225	431
343	226	431
344	226	430
345	227	430
346	228	429
347	228	429
348	229	428
349	230	427
350	230	426
351	231	426
352	232	425
353	232	424
354	233	424
355	234	423
356	234	422
357	235	422
358	236	421
359	236	421
360	237	420
361	238	419
362	238	419
363	239	418
364	240	417
365	240	417
366	241	416
367	242	416
368	242	415
369	243	414
370	244	414
371	244	413
372	245	412
373	246	412
374	246	411
375	247	410
376	248	410
377	248	409
378	249	408
379	250	408
380	250	407
381	251	406
382	252	406
383	252	405
384	253	404
385	254	404
386	254	403
387	255	403
388	256	402
389	256	401
390	257	401
391	258	400
392	258	399
393	259	399
394	260	398
395	260	397
396	261	397
397	262	396
398	262	395
399	263	395
400	264	394
401	264	393
402	265	393
403	266	392
404	266	391
405	267	391
406	268	390
407	268	389
408	269	389
409	270	388
410	270	388
411	271	387
412	272	386
413	272	386
414	273	385
415	274	384
416	274	384
417	275	383
418	276	382
419	276	382
420	277	381
421	278	380
422	278	380
423	279	379
424	280	378
425	280	378
426	281	377
427	281	376
428	282	376
429	283	375
430	283	374
431	284	374
432	285	373
433	286	373
434	286	372
435	287	371
436	288	371
437	288	370
438	289	369
439	290	369
440	290	368
441	291	367
442	291	367
443	292	366
444	293	365
445	293	365
446	294	364
447	295	363
448	295	363
449	296	362
450	297	361
451	297	361
452	298	360
453	299	360
454	300	359
455	301	359
456	301	358
457	302	358
458	303	357
459	304	356
460	304	356
461	305	355
462	306	355
463	306	354
464	307	353
465	308	353
466	308	352
467	309	351
468	310	351
469	310	350
470	311	349
471	312	349
472	312	348
473	313	348
474	314	347
475	315	347
476	315	346
477	316	345
478	317	344
479	317	344
480	318	343
481	319	342
482	319	342
483	320	341
484	321	340
485	321	340
486	322	339
487	323	338
488	323	338
489	324	337
490	324	336
491	325	336
492	326	335
493	327	335
494	327	334
495	328	333
496	329	333
497	329	332
498	330	331
499	331	331
500	332	330
501	332	330
502	333	329
503	333	328
504	334	328
505	335	327
506	335	326
507	336	325
508	337	325
509	337	324
510	338	323
511	339	323
512	339	322
513	340	322
514	341	321
515	342	320
516	342	320
517	343	319
518	344	318
519	344	318
520	345	317
521	346	316
522	346	316
523	347	315
524	348	315
525	348	314
526	349	313
527	350	313
528	350	312
529	351	311
530	352	311
531	352	310
532	353	309
533	354	309
534	354	308
535	355	307
536	356	307
537	357	307
538	358	306
539	359	305
540	359	305
541	360	304
542	361	303
543	361	303
544	362	302
545	363	301
546	363	301
547	364	300
548	365	299
549	365	299
550	366	298
551	367	297
552	367	297
553	368	296
554	369	295
555	369	295
556	370	294
557	371	294
558	371	293
559	372	292
560	373	292
561	373	291
562	374	290
563	375	290
564	375	289
565	376	288
566	377	288
567	377	287
568	378	286
569	379	286
570	379	285
571	380	284
572	381	284
573	381	283
574	382	282
575	383	282
576	383	281
577	384	280
578	385	280
579	386	279
580	386	278
581	387	278
582	388	277
583	388	276
584	389	276
585	390	275
586	390	274
587	391	274
588	392	273
589	392	273
590	393	272
591	394	271
592	394	271
593	395	270
594	396	269
595	396	269
596	397	268
597	398	267
598	399	267
599	399	266
600	400	266
601	401	265
602	402	264
603	402	264
604	403	263
605	404	262
606	404	262
607	405	261
608	406	260
609	406	260
610	407	259
611	407	258
612	408	257
613	409	257
614	409	256
615	410	255
616	411	255
617	411	254
618	412	253
619	413	253
620	414	252
621	414	252
622	415	251
623	416	250
624	416	250
625	417	249
626	418	248
627	418	248
628	419	247
629	420	246
630	420	246
631	421	245
632	422	244
633	422	244
634	423	243
635	424	242
636	424	242
637	425	241
638	426	240
639	426	240
640	427	239
641	428	238
642	428	238
643	429	237
644	430	236
645	430	236
646	431	235
647	432	234
648	432	234
649	433	233
650	434	232
651	434	232
652	435	231
653	436	230
654	436	230
655	437	229
656	438	228
657	438	228
658	439	227
659	440	226
660	440	226
661	441	225
662	442	224
663	442	224
664	443	223
665	444	222
666	444	222
667	445	221
668	446	220
669	446	220
670	447	219
671	448	218
672	448	218
673	449	217
674	450	216
675	450	216
676	451	215
677	452	214
678	452	214
679	453	213
680	454	212
681	454	212
682	455	211
683	456	210
684	456	210
685	457	209
686	458	208
687	458	208
688	459	207
689	460	206
690	461	206
691	461	205
692	462	204
693	463	204
694	463	203
695	464	202
696	465	202
697	465	201
698	466	200
699	467	200
700	467	199
701	468	198
702	469	198
703	470	197
704	471	197
705	471	196
706	472	195
707	472	195
708	473	194
709	474	193
710	474	193
711	475	192
712	476	191
713	477	191
714	477	190
715	478	189
716	479	189
717	479	188
718	480	187
719	481	187
720	482	186
721	482	185
722	483	185
723	484	184
724	484	183
725	485	183
726	486	182
727	487	182
728	487	181
729	488	180
730	489	180
731	489	179
732	490	178
733	491	178
734	491	177
735	492	176
736	493	176
737	493	175
738	494	174
739	495	173
740	495	173
741	496	172
742	497	171
743	497	171
744	498	170
745	499	170
746	500	169
747	501	168
748	501	168
749	502	167
750	503	166
751	503	166
752	504	165
753	505	164
754	505	164
755	506	163
756	507	162
757	507	162
758	508	161
759	508	160
760	509	160
761	510	159
762	510	158
763	511	157
764	512	157
765	512	156
766	513	156
767	514	155
768	514	154
769	515	154
770	516	153
771	516	152
772	517	152
773	518	151
774	518	150
775	519	149
776	520	149
777	520	148
778	521	147
779	522	147
780	522	146
781	523	145
782	524	145
783	524	144
784	525	143
785	526	143
786	526	142
787	527	141
788	528	141
789	528	140
790	529	139
791	530	139
792	530	138
793	531	137
794	532	137
795	532	136
796	533	135
797	534	135
798	534	134
799	535	133
800	536	133
801	536	132
802	537	131
803	538	131
804	538	130
805	539	129
806	540	129
807	540	128
808	541	127
809	542	127
810	543	126
811	544	125
812	544	125
813	545	124
814	546	124
815	547	123
816	547	122
817	548	122
818	549	121
819	549	120
820	550	120
821	551	119
822	551	118
823	552	118
824	553	117
825	554	116
826	554	116
827	555	115
828	556	114
829	556	114
830	557	113
831	558	112
832	558	112
833	559	111
834	560	110
835	560	110
836	561	109
837	562	108
838	562	108
839	563	107
840	564	106
841	564	105
842	565	105
843	566	104
844	566	103
845	567	103
846	568	102
847	568	101
848	569	101
849	570	100
850	570	99
851	571	99
852	572	98
853	572	97
854	573	97
855	574	96
856	574	95
857	575	95
858	576	94
859	576	93
860	577	93
861	578	92
862	578	91
863	579	91
864	580	90
865	580	89
866	581	89
867	582	88
868	582	87
869	583	87
870	583	86
871	584	85
872	585	85
873	586	84
874	586	83
875	587	83
876	588	82
877	588	81
878	589	81
879	590	80
880	590	79
881	591	79
882	592	78
883	592	77
884	593	77
885	594	76
886	594	75
887	595	75
888	596	74
889	596	73
890	597	73
891	597	72
892	598	71
893	599	71
894	600	70
895	600	69
896	601	69
897	602	68
898	602	67
899	603	67
900	604	66
901	604	65
902	605	65
903	606	64
904	606	63
905	607	63
906	608	62
907	609	61
908	609	61
909	610	60
910	611	59
911	611	59
912	612	58
913	613	57
914	614	57
915	614	56
916	615	55
917	616	55
918	616	54
919	617	53
920	618	53
921	618	52
922	619	51
923	620	51
924	620	50
925	621	49
926	622	49
927	622	48
928	623	47
929	624	46
930	624	46
931	625	45
932	626	44
933	626	44
934	627	43
935	628	42
936	629	42
937	630	41
938	630	40
939	631	40
940	632	39
941	633	38
942	633	38
943	634	37
944	635	36
945	636	36
946	636	35
947	637	34
948	638	34
949	639	33
950	640	32
951	640	32
952	641	31
953	642	30
954	642	30
955	643	29
956	643	28
957	644	28
958	645	27
959	645	26
960	646	26
961	647	25
962	647	24
963	648	24
964	649	23
965	649	22
966	650	22
967	650	21
968	651	20
969	652	20
970	652	19
971	653	18
972	654	18
973	654	17
974	655	16
975	656	16
976	657	15
977	657	14
978	658	14
979	659	13
980	659	12
981	660	12
982	661	11
983	661	10
984	662	10
985	663	9
986	663	8
987	664	8
988	665	7
989	665	6
990	666	6
991	667	5
992	667	4
993	668	4
994	668	3
995	669	2
996	670	2
997	671	1
998	671	0
999	672	0
